325335	Ceryle rudis	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Coraciiformes	family	Cerylidae	genus	Ceryle
2049300	Caridonax fulgidus	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Coraciiformes	family	Alcedinidae	genus	Caridonax
36245	Alcedo atthis	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Coraciiformes	family	Alcedinidae	genus	Alcedo
342376	Actenoides lindsayi	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Coraciiformes	family	Alcedinidae	genus	Actenoides
272213	Cosmocomoidea triguttata	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Mymaridae	genus	Cosmocomoidea
1237092	Panopea globosa	kingdom	Metazoa	phylum	Mollusca	class	Bivalvia	order	Myoida	family	Hiatellidae	genus	Panopea
117534	Eulimnadia texana	kingdom	Metazoa	phylum	Arthropoda	class	Branchiopoda	order	Diplostraca	family	Limnadiidae	genus	Eulimnadia
2054904	Subilla sp. AD-2014	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Raphidioptera	family	Raphidiidae	genus	Subilla
77147	Platythyrea punctata	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Formicidae	subfamily	Ponerinae	genus	Platythyrea
614023	Perissomyrmex snyderi	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Formicidae	subfamily	Myrmicinae	genus	Perissomyrmex
307658	Monomorium pharaonis	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Formicidae	subfamily	Myrmicinae	genus	Monomorium
610011	Gnamptogenys minuta	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Formicidae	subfamily	Ectatomminae	genus	Gnamptogenys
1932940	Adelomyrmex dentivagans	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Formicidae	subfamily	Myrmicinae	genus	Adelomyrmex
269257	Aphelocoma wollweberi couchii	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Passeriformes	family	Corvidae	genus	Aphelocoma
481744	Aphelocoma ultramarina colimae	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Passeriformes	family	Corvidae	genus	Aphelocoma
481746	Aphelocoma ultramarina ultramarina	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Passeriformes	family	Corvidae	genus	Aphelocoma
247973	Aphelocoma wollweberi potosina	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Passeriformes	family	Corvidae	genus	Aphelocoma
481747	Aphelocoma wollweberi wollweberi	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Passeriformes	family	Corvidae	genus	Aphelocoma
1843598	Aphelocoma wollweberi gracilis	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Passeriformes	family	Corvidae	genus	Aphelocoma
269254	Aphelocoma wollweberi arizonae	kingdom	Metazoa	phylum	Chordata	class	Aves	order	Passeriformes	family	Corvidae	genus	Aphelocoma
623738	Octopus maya	kingdom	Metazoa	phylum	Mollusca	class	Cephalopoda	order	Octopoda	family	Octopodidae	genus	Octopus
1843536	Megacormus gertschi	kingdom	Metazoa	phylum	Arthropoda	class	Arachnida	order	Scorpiones	family	Euscorpiidae	subfamily	Megacorminae	genus	Megacormus
311983	Superstitionia donensis	kingdom	Metazoa	phylum	Arthropoda	class	Arachnida	order	Scorpiones	family	Superstitionidae	subfamily	Superstitioninae	genus	Superstitionia
1043007	Crotalus simus	kingdom	Metazoa	phylum	Chordata	order	Squamata	family	Viperidae	subfamily	Crotalinae	genus	Crotalus
30077	Meccus pallidipennis	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Reduviidae	subfamily	Triatominae	genus	Meccus
7232	Drosophila navojoa	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Diptera	family	Drosophilidae	subfamily	Drosophilinae	genus	Drosophila
7263	Drosophila arizonae	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Diptera	family	Drosophilidae	subfamily	Drosophilinae	genus	Drosophila
6689	Litopenaeus vannamei	kingdom	Metazoa	phylum	Arthropoda	class	Malacostraca	order	Decapoda	family	Penaeidae	genus	Litopenaeus
910319	Palaemon argentinus	kingdom	Metazoa	phylum	Arthropoda	class	Malacostraca	order	Decapoda	family	Palaemonidae	genus	Palaemon
